name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Season
Facundo Pellistri Rebollo,MID,Man Utd,1.2,0,0,1,0,1.1,394,0.08,0.2,0.12,0.17,179,1,0,1.6,6.2,2023-12-23T12:30:00Z,17,19,0,0,0,0,18,0,20827,0,0,2,9.0,1,-1413,185,1598,44,False,0,18,2023-2024
James Hill,DEF,Bournemouth,0.0,0,0,0,0,0.0,69,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,16,0,0,0,0,18,0,12320,0,3,2,0.0,0,-211,0,211,40,False,0,18,2023-2024
Bruno Cavaco Jordão,MID,Wolves,0.0,0,0,0,0,0.0,561,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,7,0,0,0,0,18,0,18322,0,1,2,0.0,0,40,992,952,43,True,0,18,2023-2024
Kjell Scherpen,GK,Brighton,0.0,0,0,0,0,0.0,147,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,8,0,0,0,0,18,0,74,0,1,1,0.0,0,0,0,0,40,False,0,18,2023-2024
Aleksandar Mitrović,FWD,Fulham,0.0,0,0,0,0,0.0,278,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,71637,0,2,0,0.0,0,-210,0,210,74,True,0,18,2023-2024
Moussa Niakhaté,DEF,Nott'm Forest,0.8,0,0,12,0,4.3,457,0.05,0.05,0.0,1.4,177,3,0,2.2,17.2,2023-12-23T15:00:00Z,64,3,0,0,0,0,18,0,6624,0,3,2,0.0,1,-135,225,360,45,True,0,18,2023-2024
Paul Dummett,DEF,Newcastle,1.2,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,12,0,0,0,0,18,0,39452,0,0,1,0.0,0,-1055,606,1661,39,False,0,18,2023-2024
Sven Botman,DEF,Newcastle,1.3,0,0,12,0,1.1,405,0.14,0.17,0.03,0.56,175,0,0,2.8,20.4,2023-12-23T15:00:00Z,53,12,0,0,0,0,18,0,545629,0,0,1,6.0,1,17960,22377,4417,45,False,0,18,2023-2024
Issa Diop,DEF,Fulham,0.7,0,0,0,0,0.0,271,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,47571,0,2,0,0.0,0,1169,1600,431,44,True,0,18,2023-2024
Aaron Ramsdale,GK,Arsenal,1.0,0,0,0,0,0.0,17,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,11,0,0,0,0,18,0,680772,0,1,1,0.0,0,-14000,1201,15201,46,False,0,18,2023-2024
Tosin Adarabioyo,DEF,Fulham,4.3,0,0,20,0,12.1,286,0.05,0.05,0.0,0.41,173,2,0,4.9,31.2,2023-12-23T15:00:00Z,90,6,0,0,0,0,18,0,30669,1,2,0,6.0,1,11349,12637,1288,43,True,0,18,2023-2024
Trent Alexander-Arnold,DEF,Liverpool,8.5,1,0,20,0,45.9,290,0.11,0.52,0.41,0.8,174,1,0,8.4,32.0,2023-12-23T17:30:00Z,90,1,0,0,0,0,18,0,1881124,1,1,1,6.0,5,133583,154984,21401,82,True,0,18,2023-2024
Anass Zaroury,MID,Burnley,-0.3,0,0,0,0,0.0,184,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,3115,0,2,0,0.0,0,-58,10,68,47,False,0,18,2023-2024
Pervis Estupiñán,DEF,Brighton,0.0,0,0,0,0,0.0,131,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,8,0,0,0,0,18,0,1427423,0,1,1,0.0,0,-36318,229,36547,50,False,0,18,2023-2024
Enso González,MID,Wolves,0.0,0,0,0,0,0.0,698,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,7,0,0,0,0,18,0,1380,0,1,2,0.0,0,-36,37,73,50,True,0,18,2023-2024
